,key_press,left_stim,right_stim,confidence_rating,subject_id
0,s,D,Y,0.0,sim7
1,a,W,A,0.0,sim7
2,s,D,X,0.0,sim7
3,s,W,B,0.0,sim7
4,s,C,Y,0.0,sim7
5,a,V,B,0.0,sim7
6,a,C,X,0.0,sim7
7,s,V,A,0.0,sim7
8,a,C,X,0.0,sim7
9,s,Y,C,0.0,sim7
10,a,D,Y,0.0,sim7
11,s,W,A,0.0,sim7
12,a,D,X,0.0,sim7
13,a,W,B,0.0,sim7
14,a,B,V,0.0,sim7
15,s,V,A,0.0,sim7
16,s,A,W,0.0,sim7
17,s,V,B,0.0,sim7
18,a,A,V,0.0,sim7
19,s,X,C,0.0,sim7
20,a,C,Y,0.0,sim7
21,a,W,B,0.0,sim7
22,a,D,Y,0.0,sim7
23,s,X,D,0.0,sim7
24,s,B,V,0.0,sim7
25,a,Y,C,0.0,sim7
26,a,C,X,0.0,sim7
27,s,Y,D,0.0,sim7
28,a,A,W,0.0,sim7
29,s,X,D,0.0,sim7
30,s,B,W,0.0,sim7
31,a,V,A,0.0,sim7
32,s,B,V,0.0,sim7
33,a,Y,C,0.0,sim7
34,a,A,V,0.0,sim7
35,a,X,C,0.0,sim7
36,a,D,X,0.0,sim7
37,s,W,B,0.0,sim7
38,a,A,W,0.0,sim7
39,s,Y,D,0.0,sim7
40,s,B,W,0.0,sim7
41,a,W,A,0.0,sim7
42,s,A,V,0.0,sim7
43,a,Y,C,0.0,sim7
44,s,D,Y,0.0,sim7
45,s,V,B,0.0,sim7
46,s,D,X,0.0,sim7
47,a,X,C,0.0,sim7
48,s,B,W,0.0,sim7
49,s,X,D,0.0,sim7
50,a,C,X,0.0,sim7
51,a,V,A,0.0,sim7
52,a,A,W,0.0,sim7
53,a,Y,D,0.0,sim7
54,a,C,Y,0.0,sim7
55,s,V,B,0.0,sim7
56,s,D,X,0.0,sim7
57,a,Y,C,0.0,sim7
58,a,A,V,0.0,sim7
59,a,W,A,0.0,sim7
60,s,B,W,0.0,sim7
61,s,Y,D,0.0,sim7
62,a,C,X,0.0,sim7
63,s,V,B,0.0,sim7
64,a,C,X,0.0,sim7
65,a,W,A,0.0,sim7
66,s,B,W,0.0,sim7
67,s,V,B,0.0,sim7
68,a,C,Y,0.0,sim7
69,a,V,A,0.0,sim7
70,s,D,X,0.0,sim7
71,s,Y,D,0.0,sim7
72,s,B,V,0.0,sim7
73,a,Y,C,0.0,sim7
74,s,B,W,0.0,sim7
75,a,W,A,0.0,sim7
76,s,D,X,0.0,sim7
77,a,V,A,0.0,sim7
78,s,D,Y,0.0,sim7
79,a,X,C,0.0,sim7
80,s,B,V,0.0,sim7
81,a,W,A,0.0,sim7
82,s,B,W,0.0,sim7
83,s,X,D,0.0,sim7
84,a,A,V,0.0,sim7
85,a,X,C,0.0,sim7
86,a,C,Y,0.0,sim7
87,s,Y,D,0.0,sim7
88,a,A,W,0.0,sim7
89,s,W,B,0.0,sim7
90,a,A,V,0.0,sim7
91,s,V,B,0.0,sim7
92,a,D,Y,0.0,sim7
93,s,X,D,0.0,sim7
94,a,C,Y,0.0,sim7
95,a,X,C,0.0,sim7
96,a,A,W,0.0,sim7
97,a,Y,C,0.0,sim7
98,s,D,X,0.0,sim7
99,s,V,B,0.0,sim7
100,a,C,X,0.0,sim7
101,s,W,B,0.0,sim7
102,a,A,V,0.0,sim7
103,s,Y,D,0.0,sim7
104,a,A,V,0.0,sim7
105,s,V,B,0.0,sim7
106,s,B,W,0.0,sim7
107,a,Y,C,0.0,sim7
108,s,D,Y,0.0,sim7
109,a,W,A,0.0,sim7
110,a,C,X,0.0,sim7
111,s,X,D,0.0,sim7
112,f,B,Y,0.0,sim7
113,f,L,K,0.0,sim7
114,d,G,H,0.0,sim7
115,f,F,E,0.0,sim7
116,f,A,X,0.0,sim7
117,d,W,D,0.0,sim7
118,f,C,V,0.0,sim7
119,f,J,I,0.0,sim7
120,d,C,V,0.0,sim7
121,f,J,I,0.0,sim7
122,f,G,H,0.0,sim7
123,f,X,A,0.0,sim7
124,d,K,L,0.0,sim7
125,d,W,D,0.0,sim7
126,f,E,F,0.0,sim7
127,f,Y,B,0.0,sim7
128,d,E,F,0.0,sim7
129,d,J,I,0.0,sim7
130,d,B,Y,0.0,sim7
131,f,X,A,0.0,sim7
132,f,G,H,0.0,sim7
133,d,V,C,0.0,sim7
134,f,K,L,0.0,sim7
135,f,W,D,0.0,sim7
136,f,D,W,0.0,sim7
137,d,F,E,0.0,sim7
138,f,K,L,0.0,sim7
139,f,Y,B,0.0,sim7
140,f,G,H,0.0,sim7
141,d,V,C,0.0,sim7
142,d,I,J,0.0,sim7
143,d,X,A,0.0,sim7
144,f,B,D,3.0,sim7
145,d,X,V,2.0,sim7
146,f,W,Y,2.0,sim7
147,d,J,I,3.0,sim7
148,f,E,H,1.0,sim7
149,f,G,F,1.0,sim7
150,f,K,L,3.0,sim7
151,d,C,A,3.0,sim7
