subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"12",Chrome,86.0.4240.193,MacOS,en-US,2020-11-25_21:47:15,2020-11-25_16:47:15,https://www.testable.org/experiment/4058/666579/start?sona_id=65241,0.97

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
5955,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","12","","","","",0,0,56860,"2",2128,"",""
5958,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,0,0,84070,h,3030,"1",""
5960,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,0,0,89597,g,1274,"1",""
5965,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",94706,g,865,"1",""
5963,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",99705,h,748,"1",""
5968,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",104936,h,978,"1",""
5970,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",109842,g,667,"1",""
5973,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",114703,h,611,"1",""
5975,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",119929,g,987,"1",""
5978,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",124673,h,497,"1",""
5980,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",129489,g,563,"1",""
5985,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,751,45,"16.67",134462,g,718,"1",""
5983,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",139884,g,1174,"0",""
5990,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,751,45,"16.68",144990,g,862,"1",""
5988,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.67",150147,h,903,"1",""
5993,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,751,45,"16.68",155586,h,1191,"1",""
5995,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.67",160554,g,725,"1",""
5998,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.68",165413,h,618,"1",""
6000,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.67",170387,g,725,"1",""
6003,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,750,45,"16.68",175317,h,688,"1",""
6005,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.67",180227,g,664,"1",""
6008,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.67",185174,h,695,"1",""
6010,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.67",190196,g,766,"1",""
6013,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,750,45,"16.67",194993,h,546,"1",""
6015,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.67",200475,g,1243,"1",""
6020,"2","","",SHINEd_pepper,SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,phi,-200 50;200 50,750,45,"16.67",206847,h,2133,"1",""
6024,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,phi,-200 50;200 50,750,45,"16.67",211779,g,680,"1",""
6018,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",theta,alpha,-200 50;200 50,750,45,"16.67",217123,h,1092,"1",""
6022,"3","","",SHINEd_melon,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",theta,beta,-200 50;200 50,750,45,"16.67",222663,g,1297,"1",""
6029,"2","","",SHINEd_berry2,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",phi,alpha,-200 50;200 50,750,45,"16.67",227825,h,908,"1",""
6031,"3","","",SHINEd_lemon,SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,theta,-200 50;200 50,750,45,"16.67",232763,g,696,"1",""
6033,"4","","",SHINEd_berry2,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",phi,beta,-200 50;200 50,750,45,"16.67",237924,h,907,"0",""
6027,"1","","",SHINEd_pepper,SHINEd_melon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,theta,-200 50;200 50,750,45,"16.67",242867,h,699,"1",""
6036,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",theta,alpha,-200 50;200 50,750,45,"16.67",248070,h,952,"1",""
6038,"2","","",SHINEd_pepper,SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,phi,-200 50;200 50,750,45,"16.67",253196,h,878,"1",""
6042,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,phi,-200 50;200 50,750,45,"16.67",258027,g,592,"1",""
6040,"3","","",SHINEd_melon,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",theta,beta,-200 50;200 50,751,45,"16.67",263198,g,929,"1",""
6045,"1","","",SHINEd_pepper,SHINEd_melon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,theta,-200 50;200 50,750,45,"16.67",268343,h,908,"1",""
6051,"4","","",SHINEd_berry2,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",phi,beta,-200 50;200 50,751,45,"16.68",273386,h,799,"0",""
6049,"3","","",SHINEd_lemon,SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,theta,-200 50;200 50,750,45,"16.67",278630,g,994,"1",""
