subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"6",Safari,12.1.2,MacOS,en-US,2020-11-30_21:50:19,2020-11-30_14:50:19,https://www.testable.org/experiment/4058/666579/start?sona_id=66289,1

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
2709,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","6","","","","",0,0,48248,"2",4805,"",""
2712,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,0 50,753,0,0,69056,g,1488,"0",""
2714,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,0 50,752,0,0,73719,h,403,"0",""
2717,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,0 50,752,45,"16.73",80023,h,2045,"1",""
2719,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,0 50,751,45,"16.71",84831,g,553,"1",""
2722,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,0 50,752,45,"16.71",90337,h,1262,"1",""
2724,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,0 50,752,45,"16.69",94954,g,365,"1",""
2729,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,0 50,752,45,"16.71",100302,g,1100,"1",""
2727,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,0 50,752,45,"16.71",105561,h,1012,"1",""
2732,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,0 50,752,45,"16.71",110385,g,572,"0",""
2734,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,0 50,752,45,"16.71",115063,g,420,"1",""
2739,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,0 50,752,45,"16.71",120979,g,1657,"1",""
2737,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,0 50,752,45,"16.71",126141,h,903,"1",""
2744,"2","","","",SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",none,beta,-200 50;200 50,752,45,"16.71",131822,g,1437,"1",""
2742,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",none,alpha,-200 50;200 50,752,45,"16.71",137221,h,1154,"1",""
2747,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,-200 50;200 50,751,45,"16.71",143773,h,2309,"1",""
2749,"2","","",SHINEd_berry2,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,-200 50;200 50,752,45,"16.71",149125,g,1093,"1",""
2754,"2","","","",SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",none,beta,-200 50;200 50,752,45,"16.69",154230,g,850,"1",""
2752,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",none,alpha,-200 50;200 50,752,45,"16.71",159632,h,1155,"1",""
2757,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,-200 50;200 50,752,45,"16.71",164777,h,886,"1",""
2759,"2","","",SHINEd_berry2,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,-200 50;200 50,752,45,"16.71",169925,g,904,"1",""
2762,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",none,alpha,-200 50;200 50,752,45,"16.71",175466,h,1297,"1",""
2764,"2","","","",SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",none,beta,-200 50;200 50,752,45,"16.71",180862,g,1145,"1",""
2767,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,none,-200 50;200 50,751,45,"16.71",187148,h,2034,"1",""
2769,"2","","",SHINEd_berry2,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,none,-200 50;200 50,753,45,"16.71",192283,g,885,"1",""
2778,"4","","",SHINEd_berry2,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,phi,-200 50;200 50,752,45,"16.69",198406,g,1878,"1",""
2772,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",theta,alpha,-200 50;200 50,752,45,"16.73",204329,h,1668,"1",""
2776,"3","","",SHINEd_melon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",theta,beta,-200 50;200 50,752,45,"16.71",210165,g,1588,"1",""
2774,"2","","",SHINEd_pepper,SHINEd_lemon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,phi,-200 50;200 50,752,45,"16.71",215728,h,1319,"1",""
2787,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",phi,beta,-200 50;200 50,751,45,"16.71",221820,g,1846,"1",""
2781,"1","","",SHINEd_pepper,SHINEd_melon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,theta,-200 50;200 50,752,45,"16.71",227308,h,1234,"1",""
2783,"2","","",SHINEd_lemon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",phi,alpha,-200 50;200 50,752,45,"16.69",232850,h,1295,"1",""
2785,"3","","",SHINEd_berry2,SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,theta,-200 50;200 50,753,45,"16.71",238340,g,1237,"1",""
2796,"4","","",SHINEd_berry2,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,phi,-200 50;200 50,751,45,"16.71",244909,g,2326,"1",""
2792,"2","","",SHINEd_pepper,SHINEd_lemon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,phi,-200 50;200 50,752,45,"16.73",250624,h,1472,"1",""
2790,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",theta,alpha,-200 50;200 50,752,45,"16.69",256054,h,1170,"1",""
2794,"3","","",SHINEd_melon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",theta,beta,-200 50;200 50,751,45,"16.71",261572,g,1274,"1",""
2803,"3","","",SHINEd_berry2,SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,theta,-200 50;200 50,752,45,"16.71",267063,g,1233,"1",""
2801,"2","","",SHINEd_lemon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",phi,alpha,-200 50;200 50,752,45,"16.69",272556,h,1245,"1",""
2799,"1","","",SHINEd_pepper,SHINEd_melon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,theta,-200 50;200 50,752,45,"16.71",277919,h,1109,"1",""
2805,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",phi,beta,-200 50;200 50,753,45,"16.71",283354,g,1180,"1",""
2810,"2","","",SHINEd_pepper,SHINEd_lemon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,phi,-200 50;200 50,752,45,"16.71",289245,h,1640,"1",""
2808,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",theta,alpha,-200 50;200 50,752,45,"16.73",294999,h,1495,"1",""
2812,"3","","",SHINEd_melon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",theta,beta,-200 50;200 50,752,45,"16.71",300602,g,1349,"1",""
2814,"4","","",SHINEd_berry2,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,phi,-200 50;200 50,752,45,"16.71",306849,g,1998,"1",""
2819,"2","","",SHINEd_lemon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",phi,alpha,-200 50;200 50,752,45,"16.71",312246,h,1144,"1",""
2821,"3","","",SHINEd_berry2,SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",beta,theta,-200 50;200 50,753,45,"16.71",318242,g,1743,"1",""
2817,"1","","",SHINEd_pepper,SHINEd_melon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","6",alpha,theta,-200 50;200 50,752,45,"16.71",324103,h,1605,"1",""
2823,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","6",phi,beta,-200 50;200 50,752,45,"16.73",329478,g,1131,"1",""
2839,"7","","",27M_NE_C,34M_AN_C,o,test,"",.png,0 50,"750",l o,"","","","","",correct: Correct.  They like to play Operation (O).; incorrect: Incorrect.  They like to play Operation (O).,"2000",sameScreen,"","","","6",B3,T4,0 50,752,45,"16.71",371528,l,1319,"0",""
