subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"12",Firefox,"83.0",Windows,en-US,2020-12-04_19:01:26,2020-12-04_12:01:26,https://www.testable.org/experiment/4058/666579/start?sona_id=65700,0.64

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
5955,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","12","","","","",0,0,39826,"2",883,"",""
5958,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,0,0,62973,h,5485,"1",""
5960,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,0,0,68525,h,1304,"0",""
5963,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",74413,h,1625,"1",""
5965,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",79324,g,670,"1",""
5968,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",85541,g,1954,"0",""
5970,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",91828,g,2040,"1",""
5975,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",96740,g,653,"1",""
5973,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",101668,h,664,"1",""
5978,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",106596,h,676,"1",""
5980,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",111755,g,902,"1",""
5985,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.67",117283,g,1280,"1",""
5983,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.67",121955,h,418,"1",""
5988,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.67",127339,h,1136,"1",""
5990,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.67",132299,g,712,"1",""
5993,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,750,45,"16.67",137771,h,1218,"1",""
5995,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.67",142634,g,614,"1",""
5998,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.67",147331,h,445,"1",""
6000,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.67",152274,g,704,"1",""
6005,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.67",157218,g,698,"1",""
6003,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,750,45,"16.67",162107,h,638,"1",""
6008,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.67",167201,h,849,"1",""
6010,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.67",172034,g,581,"1",""
6015,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.67",177178,g,892,"1",""
6013,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,750,45,"16.67",183258,h,1822,"1",""
6020,"2","","",SHINEd_pepper,SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,phi,-200 50;200 50,750,45,"16.67",189929,h,2427,"1",""
6022,"3","","",SHINEd_melon,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",theta,beta,-200 50;200 50,750,45,"16.67",195209,g,1023,"1",""
6024,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,phi,-200 50;200 50,750,45,"16.67",200625,g,1157,"1",""
6018,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",theta,alpha,-200 50;200 50,750,45,"16.67",205977,h,1108,"1",""
6033,"4","","",SHINEd_berry2,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",phi,beta,-200 50;200 50,750,45,"16.67",210993,g,758,"1",""
6029,"2","","",SHINEd_berry2,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",phi,alpha,-200 50;200 50,750,45,"16.67",219040,h,3788,"1",""
6031,"3","","",SHINEd_lemon,SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,theta,-200 50;200 50,750,45,"16.67",224153,g,867,"1",""
6027,"1","","",SHINEd_pepper,SHINEd_melon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,theta,-200 50;200 50,750,45,"16.67",229400,h,998,"1",""
6036,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",theta,alpha,-200 50;200 50,750,45,"16.67",234425,g,773,"0",""
6042,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,phi,-200 50;200 50,750,45,"16.67",239272,g,604,"1",""
6038,"2","","",SHINEd_pepper,SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,phi,-200 50;200 50,750,45,"16.67",245152,h,1634,"1",""
6040,"3","","",SHINEd_melon,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",theta,beta,-200 50;200 50,750,45,"16.67",250272,g,871,"1",""
6049,"3","","",SHINEd_lemon,SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,theta,-200 50;200 50,750,45,"16.67",255311,g,793,"1",""
6051,"4","","",SHINEd_berry2,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",phi,beta,-200 50;200 50,750,45,"16.67",261888,g,2321,"1",""
6047,"2","","",SHINEd_berry2,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",phi,alpha,-200 50;200 50,750,45,"16.67",266912,h,761,"1",""
6045,"1","","",SHINEd_pepper,SHINEd_melon,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,theta,-200 50;200 50,750,45,"16.67",271976,h,825,"1",""
6058,"3","","",SHINEd_melon,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",theta,beta,-200 50;200 50,750,45,"16.67",277215,g,981,"1",""
6056,"2","","",SHINEd_pepper,SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,phi,-200 50;200 50,750,45,"16.67",282103,h,635,"1",""
