condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_melon.png', 'beta': 'pictures/SHINEd_pepper.png', 'theta': 'pictures/SHINEd_apple.png', 'phi': 'pictures/SHINEd_pear.png', 'T1': 'pictures/20M_AN_C.png', 'T2': 'pictures/22M_AN_C.png', 'T3': 'pictures/33M_AN_C.png', 'T4': 'pictures/31M_AN_C.png', 'T5': 'pictures/37M_AN_C.png', 'T6': 'pictures/26M_AN_C.png', 'B1': 'pictures/23M_NE_C.png', 'B2': 'pictures/25M_NE_C.png', 'B3': 'pictures/38M_NE_C.png', 'B4': 'pictures/34M_NE_C.png', 'B5': 'pictures/32M_NE_C.png', 'B6': 'pictures/36M_NE_C.png'}",12.464342601999306,None,17.44766353399973,None,space,1198.5320182340001,17.44766353399973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.364647327,None,1216.364647327,None,"['s', 'a', 'c', 'o', 'r', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', '1', 'backspace', '1', '2', '2', '0', 's', 'a', 'c', 'o', 'r', '1', '2', '2', '0', 's', 'a', 'c', 'd', 'm']","[45.935000554, 46.15909547799856, 51.74308992999977, 52.015034230998936, 52.1751040449999, 53.855044443000224, 55.15098371699969, 55.32710872399912, 55.55098307899971, 55.69499871399967, 55.88705446399945, 56.591106583999135, 56.99111070899926, 63.58303101299862, 63.918992298999, 67.98297978399933, 68.2870522739995, 70.76698313399902, 71.0230312549993, 73.96698514199852, 74.31904201199904, 74.44703088699862, 88.12710544499896, 88.49497306899866, 96.68704655399961, 97.03904146999957, 102.86332078499981, 103.19902149799964, 105.40710396399845, 105.63103505399886, 105.66316240199922]",1216.364647327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220sacdm,1216.364647327,None,1216.364647327,None,1327.0982383350001,None,space,0.5537416260012833,1332.0979429180006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332.0979429180006,None,1332.6980912599993,None,space,4.42647109400059,1337.6812114879995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.6812114879995,None,1342.1645393,None,1342.1645393,None,1342.1645393,None,g,0,2.5036448780010687,1343.748030884999,None,1343.748030884999,None,1343.748030884999,None,1346.3315120579991,None,1346.3315120579991,None,1346.3315120579991,None,1346.3315120579991,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.280857328,None,1348.280857328,None,1348.280857328,None,h,0,4.435498202001327,1349.8321762359992,None,1349.8321762359992,None,1349.8321762359992,None,1354.330829815999,None,1354.330829815999,None,1354.330829815999,None,1354.330829815999,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356.3145607789993,None,1356.3145607789993,None,1356.3145607789993,None,h,1,3.5726424470012716,1357.8310359799998,None,1357.8310359799998,None,1357.8310359799998,None,1361.464350065,None,1361.464350065,None,1361.464350065,None,1361.464350065,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363.4309459060005,None,1363.4309459060005,None,1363.4309459060005,None,g,1,0.8855874710006901,1364.9660969420001,None,1364.9660969420001,None,1364.9660969420001,None,1365.914214372,None,1365.914214372,None,1365.914214372,None,1365.914214372,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.8971931710003,None,1367.8971931710003,None,1367.8971931710003,None,g,1,0.8845084040003712,1369.4311475329996,None,1369.4311475329996,None,1369.4311475329996,None,1370.3811964849992,None,1370.3811964849992,None,1370.3811964849992,None,1370.3811964849992,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.3474924620004,None,1372.3474924620004,None,1372.3474924620004,None,h,1,0.8827479709998443,1373.8809341689994,None,1373.8809341689994,None,1373.8809341689994,None,1374.8152747999993,None,1374.8152747999993,None,1374.8152747999993,None,1374.8152747999993,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
