condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,stage2Loop.thisRepN,stage2Loop.thisTrialN,stage2Loop.thisN,stage2Loop.thisIndex,blockLoop2.thisRepN,blockLoop2.thisTrialN,blockLoop2.thisN,blockLoop2.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,instructions_2.started,instructions_2.stopped,end_instructions_resp_2.keys,end_instructions_resp_2.rt,end_instructions_resp_2.started,end_instructions_resp_2.stopped,press_space_to_continue_stage2.started,press_space_to_continue_stage2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_pepper.png', 'beta': 'pictures/SHINEd_apple.png', 'theta': 'pictures/SHINEd_melon.png', 'phi': 'pictures/SHINEd_pear.png', 'T1': 'pictures/31M_AN_C.png', 'T2': 'pictures/22M_AN_C.png', 'T3': 'pictures/33M_AN_C.png', 'T4': 'pictures/20M_AN_C.png', 'T5': 'pictures/32M_AN_C.png', 'T6': 'pictures/36M_AN_C.png', 'B1': 'pictures/25M_NE_C.png', 'B2': 'pictures/38M_NE_C.png', 'B3': 'pictures/34M_NE_C.png', 'B4': 'pictures/26M_NE_C.png', 'B5': 'pictures/37M_NE_C.png', 'B6': 'pictures/23M_NE_C.png'}",7.716862936002144,None,12.69997051899918,None,space,16.53733614399971,12.69997051899918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.650075903999095,None,29.650075903999095,None,"['1', '0', '0', '2', 'v', 'e', 'c', 'h', 'e', 'backspace', '1', '0', '0', '2', 'v', 'e', 'c', 'h', 'e', 'backspace', '1', '0', '0', '2', 'v', 'e', 'c', 'h', 'backspace', 'r', 'e']","[6.787191209001321, 7.1392339109988825, 10.723146754000481, 10.97921734099873, 13.747203124999942, 14.035155006000423, 17.795153330000176, 18.0511802789988, 18.3552120509994, 21.34727112800101, 27.667179955999018, 27.923209127999144, 31.23515499199857, 32.2752606009999, 34.483218492998276, 34.73922851599855, 39.15521636400081, 39.459272929998406, 39.68318790799822, 43.52327371800129, 46.86715120000008, 47.10727551599848, 47.955219357001624, 48.259278935998736, 54.2432321640008, 54.48320728800172, 59.17120283699842, 59.55521915999998, 60.46717530800015, 60.80320294400008, 61.107268952000595]",29.650075903999095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002vecre,29.650075903999095,None,29.650075903999095,None,95.83359831599955,None,space,0.804040653998527,100.83325262699873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.83325262699873,None,101.68339722599922,None,space,5.465692028999911,106.68359933900138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.68359933900138,None,112.20027880400085,None,112.20027880400085,None,112.20027880400085,None,h,1,3.4057171829990693,113.78357616799985,None,113.78357616799985,None,113.78357616799985,None,117.26675150099982,None,117.26675150099982,None,117.26675150099982,None,117.26675150099982,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.21642979700118,None,119.21642979700118,None,119.21642979700118,None,g,1,1.3344355539993558,120.76680990300156,None,120.76680990300156,None,120.76680990300156,None,122.16886606499975,None,122.16886606499975,None,122.16886606499975,None,122.16886606499975,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1495408769988,None,124.1495408769988,None,124.1495408769988,None,h,1,0.5941549240014865,125.68320606199995,None,125.68320606199995,None,125.68320606199995,None,126.33324652100055,None,126.33324652100055,None,126.33324652100055,None,126.33324652100055,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.29987659900144,None,128.29987659900144,None,128.29987659900144,None,g,1,0.7962820190005004,129.8329627560015,None,129.8329627560015,None,129.8329627560015,None,130.68322593799894,None,130.68322593799894,None,130.68322593799894,None,130.68322593799894,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6670599329991,None,132.6670599329991,None,132.6670599329991,None,g,1,1.8537410880016978,134.1995743510015,None,134.1995743510015,None,134.1995743510015,None,136.11722135600212,None,136.11722135600212,None,136.11722135600212,None,136.11722135600212,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.08319970899902,None,138.08319970899902,None,138.08319970899902,None,h,1,0.7568490939993353,139.6164481429987,None,139.6164481429987,None,139.6164481429987,None,140.43285017900052,None,140.43285017900052,None,140.43285017900052,None,140.43285017900052,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
