IDCode,Section Sum,mjon1,mjon2,mjon3,mjon4,mjon5,mjon6,mjon7,mjon8,mjon9,mjon10,mjon11,mjon12,mjon13,mjon14,mjon15,mjon16,mjon17,mjon18,mjon19,mjon20,mjon21,mjon22,mjon23,mjon24,mjon25,mjon26,mjon27,mjon28,mjon29,mjon30,mjon31,mjon32,mjon33,mjon34,mjon35,mjon36
1211HaMaj,85,2,3,2,2,3,3,3,3,2,3,2,2,3,1,4,1,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,3,3,3,2,2
0106RaBer,111,2,4,4,3,4,3,5,4,3,2,3,3,3,3,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3
0704JaFai,104,3,3,3,3,4,4,3,2,4,2,2,2,2,1,1,2,2,2,2,2,1,4,3,4,4,4,4,4,4,2,4,3,4,3,3,4
0424pahig,117,4,2,3,3,3,3,4,3,3,3,2,2,3,2,3,2,3,2,2,3,2,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4
0905GiMac,91,2,2,3,3,3,2,3,2,2,2,1,3,4,1,1,1,2,1,3,2,1,3,3,3,3,4,3,3,3,2,3,3,4,4,3,3
0130DeArc,118,4,4,4,4,4,4,4,4,3,2,3,3,3,3,2,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0708RiWel,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0407FaFai,97,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,4,4,4,4,4,5,5,5,4,5,4,4,4,4,5
0808rukuw,83,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,3,4,4,4,4,4,3,4,3,5,4,4,5,4,4
0129nanew,108,2,3,4,2,3,2,3,3,1,2,1,1,2,2,1,3,3,3,2,3,2,4,4,4,4,4,4,5,5,3,4,4,4,2,5,4
0428AbDak,82,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4
0823diran,91,1,1,1,2,2,1,1,3,1,4,3,2,1,1,2,2,1,1,1,1,1,4,4,4,4,4,4,3,4,3,5,3,4,4,4,4
