condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,questionText,layout,options,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,stage2Loop.thisRepN,stage2Loop.thisTrialN,stage2Loop.thisN,stage2Loop.thisIndex,blockLoop2.thisRepN,blockLoop2.thisTrialN,blockLoop2.thisN,blockLoop2.thisIndex,testLoop.thisRepN,testLoop.thisTrialN,testLoop.thisN,testLoop.thisIndex,blockLoopTest.thisRepN,blockLoopTest.thisTrialN,blockLoopTest.thisN,blockLoopTest.thisIndex,demog_loop.thisRepN,demog_loop.thisTrialN,demog_loop.thisN,demog_loop.thisIndex,cuePics,consent_page1.started,consent_page1.stopped,er_consent1.keys,er_consent1.rt,er_consent1.started,er_consent1.stopped,stc_consent1.started,stc_consent1.stopped,consent_page3.started,consent_page3.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,instructions_2.started,instructions_2.stopped,end_instructions_resp_2.keys,end_instructions_resp_2.rt,end_instructions_resp_2.started,end_instructions_resp_2.stopped,press_space_to_continue_stage2.started,press_space_to_continue_stage2.stopped,instructions_testStage1.started,instructions_testStage1.stopped,end_instructions_resp_test1.keys,end_instructions_resp_test1.rt,end_instructions_resp_test1.started,end_instructions_resp_test1.stopped,press_space_to_continue_test1.started,press_space_to_continue_test1.stopped,cue1Image_testChoice.started,cue1Image_testChoice.stopped,cue2Image_testChoice.started,cue2Image_testChoice.stopped,test_resp.keys,test_resp.corr,test_resp.rt,test_resp.started,test_resp.stopped,cue1Image_testConf.started,cue1Image_testConf.stopped,cue2Image_testConf.started,cue2Image_testConf.stopped,conf_reminder.started,conf_reminder.stopped,conf_rating.response,conf_rating.rt,conf_rating.started,conf_rating.stopped,text_2.started,text_2.stopped,transistionInstr_resp.keys,transistionInstr_resp.rt,transistionInstr_resp.started,transistionInstr_resp.stopped,press_space_to_continue_transition.started,press_space_to_continue_transition.stopped,survey_text.started,survey_text.stopped,slider.response,slider.rt,slider.started,slider.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_melon.png', 'beta': 'pictures/SHINEd_apple.png', 'theta': 'pictures/SHINEd_pear.png', 'phi': 'pictures/SHINEd_pepper.png', 'T1': 'pictures/25M_AN_C.png', 'T2': 'pictures/22M_AN_C.png', 'T3': 'pictures/34M_AN_C.png', 'T4': 'pictures/23M_AN_C.png', 'T5': 'pictures/36M_AN_C.png', 'T6': 'pictures/31M_AN_C.png', 'B1': 'pictures/20M_NE_C.png', 'B2': 'pictures/38M_NE_C.png', 'B3': 'pictures/37M_NE_C.png', 'B4': 'pictures/32M_NE_C.png', 'B5': 'pictures/26M_NE_C.png', 'B6': 'pictures/33M_NE_C.png'}",403.04882645300006,None,space,12.42821220799999,410.998591561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.998591561,None,423.53212243100006,None,443.3653151330001,None,space,7.877994262000016,448.348799781,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.348799781,None,456.248798007,None,space,3.506624396999996,461.23214060300006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.23214060300006,None,465.0154451000001,None,465.0154451000001,None,465.0154451000001,None,h,0,3.777979053000081,466.448813762,None,466.448813762,None,466.448813762,None,470.29877066000006,None,470.29877066000006,None,470.29877066000006,None,470.29877066000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.26548860700007,None,472.26548860700007,None,472.26548860700007,None,h,1,0.9879434690000153,473.7988291600001,None,473.7988291600001,None,473.7988291600001,None,475.465461368,None,475.465461368,None,475.465461368,None,475.465461368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,,,,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.84879036899997,None,476.84879036899997,None,476.84879036899997,None,g,1,0.6286630719999948,478.38211874500007,None,478.38211874500007,None,478.38211874500007,None,479.065505068,None,479.065505068,None,479.065505068,None,479.065505068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,,,,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.048815709,None,481.048815709,None,481.048815709,None,h,1,0.6366917220000232,482.58207434200006,None,482.58207434200006,None,482.58207434200006,None,483.28212062600005,None,483.28212062600005,None,483.28212062600005,None,483.28212062600005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,,,,0,2,2,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.282158394,None,485.282158394,None,485.282158394,None,g,1,0.6113226889999623,486.815480041,None,486.815480041,None,486.815480041,None,487.482183296,None,487.482183296,None,487.482183296,None,487.482183296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,,,,0,2,2,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.465436509,None,489.465436509,None,489.465436509,None,h,1,0.5719828690000668,490.99878458600006,None,490.99878458600006,None,490.99878458600006,None,491.63215779200004,None,491.63215779200004,None,491.63215779200004,None,491.63215779200004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,,,,0,3,3,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.632145627,None,493.632145627,None,493.632145627,None,g,1,1.109305725000013,495.16549610000004,None,495.16549610000004,None,495.16549610000004,None,496.332159604,None,496.332159604,None,496.332159604,None,496.332159604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,NDAREP067ZTE,2020_Oct_21_1218,fall_faces,2020.2.4,60.002541947668014,
