subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"2",Safari,"14.0",MacOS,en-us,2020-12-02_00:38:46,2020-12-01_17:38:46,https://www.testable.org/experiment/4058/666579/start?sona_id=66169,1

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
545,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","2","","","","",0,0,88282,"2",2316,"",""
550,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","2",beta,none,0 50,750,0,0,97889,h,2219,"0",""
548,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","2",alpha,none,0 50,750,0,0,103132,g,988,"0",""
555,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","2",beta,none,0 50,750,45,"16.67",107801,g,419,"1",""
553,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","2",alpha,none,0 50,750,45,"16.67",114157,h,2105,"1",""
560,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","2",beta,none,0 50,750,45,"16.67",170873,h,52467,"0",""
558,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","2",alpha,none,0 50,751,45,"16.67",176920,h,1802,"1",""
565,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","2",beta,none,0 50,750,45,"16.67",183984,g,2812,"1",""
563,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","2",alpha,none,0 50,750,45,"16.69",190114,h,1885,"1",""
568,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","2",alpha,none,0 50,750,45,"16.67",198715,g,4349,"0",""
