subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"12",Microsoft Edge,87.0.664.52,Windows,en-US,2020-12-02_22:16:08,2020-12-02_15:16:08,https://www.testable.org/experiment/4058/666579/start?sona_id=65369,0.87

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
5955,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","12","","","","",0,0,69191,"2",2749,"",""
5960,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,0,0,94399,g,1522,"1",""
5958,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,0,0,99989,h,1348,"1",""
5965,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.66",106428,g,2190,"1",""
5963,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.66",111430,h,760,"1",""
5968,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.66",116351,h,666,"1",""
5970,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.66",121036,g,436,"1",""
5975,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.66",126300,g,1019,"1",""
5973,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.66",131647,h,1101,"1",""
5978,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.66",136540,h,645,"1",""
5980,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.66",141754,g,961,"1",""
5983,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,0 50,750,45,"16.66",146786,h,778,"1",""
5985,"2","","",SHINEd_lemon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,0 50,750,45,"16.66",151821,g,782,"1",""
5988,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.66",157055,h,984,"1",""
5990,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.66",162122,g,820,"1",""
5995,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.66",167130,g,763,"1",""
5993,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,750,45,"16.66",172005,h,622,"1",""
6000,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.66",176925,g,677,"1",""
5998,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.66",182030,h,850,"1",""
6003,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,750,45,"16.66",186901,h,624,"1",""
6005,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.66",191740,g,598,"1",""
6008,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",none,alpha,-200 50;200 50,750,45,"16.67",196798,h,807,"1",""
6010,"2","","","",SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",none,beta,-200 50;200 50,750,45,"16.66",201637,g,598,"1",""
6013,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,none,-200 50;200 50,749,45,"16.66",206634,h,747,"1",""
6015,"2","","",SHINEd_lemon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,none,-200 50;200 50,750,45,"16.66",211585,g,699,"1",""
6020,"2","","",SHINEd_pepper,SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",alpha,phi,-200 50;200 50,749,45,"16.66",221819,g,5986,"0",""
6018,"1","","",SHINEd_melon,SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","12",theta,alpha,-200 50;200 50,750,45,"16.66",228346,g,2282,"0",""
6024,"4","","",SHINEd_lemon,SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",beta,phi,-200 50;200 50,750,45,"16.65",233506,g,910,"1",""
6022,"3","","",SHINEd_melon,SHINEd_lemon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","12",theta,beta,-200 50;200 50,750,45,"16.66",238673,g,913,"1",""
