condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_apple.png', 'beta': 'pictures/SHINEd_pear.png', 'theta': 'pictures/SHINEd_melon.png', 'phi': 'pictures/SHINEd_pepper.png', 'T1': 'pictures/31M_AN_C.png', 'T2': 'pictures/36M_AN_C.png', 'T3': 'pictures/38M_AN_C.png', 'T4': 'pictures/20M_AN_C.png', 'T5': 'pictures/26M_AN_C.png', 'T6': 'pictures/33M_AN_C.png', 'B1': 'pictures/23M_NE_C.png', 'B2': 'pictures/22M_NE_C.png', 'B3': 'pictures/37M_NE_C.png', 'B4': 'pictures/25M_NE_C.png', 'B5': 'pictures/32M_NE_C.png', 'B6': 'pictures/34M_NE_C.png'}",1019.960683518002,None,1024.944276893002,None,space,3.691672524000751,1024.944276893002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.061079850002,None,1029.061079850002,None,"['1', '0', '1', '7', 'b', 'e', 'v', 'a', 'n']","[3.8627804090028803, 4.0228032450031606, 9.286810911002249, 9.4787681050002, 14.51875360500344, 14.710787746000278, 18.99881371400261, 19.334733970001253, 19.558847318003245]",1029.061079850002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017bevan,1029.061079850002,None,1029.061079850002,None,1053.6944569650004,None,space,2.213555684997118,1058.6943367989988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.6943367989988,None,1060.9441231950004,None,space,4.323572313001932,1065.944369926001,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.944369926001,None,1070.3774211890013,None,1070.3774211890013,None,1070.3774211890013,None,g,0,1.6462758900015615,1071.9815713099997,None,1071.9815713099997,None,1071.9815713099997,None,1073.6939718850008,None,1073.6939718850008,None,1073.6939718850008,None,1073.6939718850008,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.644239756999,None,1075.644239756999,None,1075.644239756999,None,g,1,1.3138103080018482,1077.1780718520022,None,1077.1780718520022,None,1077.1780718520022,None,1078.5448375490014,None,1078.5448375490014,None,1078.5448375490014,None,1078.5448375490014,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.5279163070009,None,1080.5279163070009,None,1080.5279163070009,None,g,1,1.710620507998101,1082.0612633300007,None,1082.0612633300007,None,1082.0612633300007,None,1083.827450323999,None,1083.827450323999,None,1083.827450323999,None,1083.827450323999,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085.7955596659995,None,1085.7955596659995,None,1085.7955596659995,None,h,1,0.604298086000199,1087.3275993560019,None,1087.3275993560019,None,1087.3275993560019,None,1087.9937933620022,None,1087.9937933620022,None,1087.9937933620022,None,1087.9937933620022,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.9777749400018,None,1089.9777749400018,None,1089.9777749400018,None,g,0,1.0774571170004492,1091.5104822479989,None,1091.5104822479989,None,1091.5104822479989,None,1092.6445009679992,None,1092.6445009679992,None,1092.6445009679992,None,1092.6445009679992,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.610971997001,None,1094.610971997001,None,1094.610971997001,None,g,1,1.0514905720010574,1096.1443107720006,None,1096.1443107720006,None,1096.1443107720006,None,1097.2607652660008,None,1097.2607652660008,None,1097.2607652660008,None,1097.2607652660008,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
