condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,stage2Loop.thisRepN,stage2Loop.thisTrialN,stage2Loop.thisN,stage2Loop.thisIndex,blockLoop2.thisRepN,blockLoop2.thisTrialN,blockLoop2.thisN,blockLoop2.thisIndex,testLoop.thisRepN,testLoop.thisTrialN,testLoop.thisN,testLoop.thisIndex,blockLoopTest.thisRepN,blockLoopTest.thisTrialN,blockLoopTest.thisN,blockLoopTest.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,instructions_2.started,instructions_2.stopped,end_instructions_resp_2.keys,end_instructions_resp_2.rt,end_instructions_resp_2.started,end_instructions_resp_2.stopped,press_space_to_continue_stage2.started,press_space_to_continue_stage2.stopped,instructions_testStage1.started,instructions_testStage1.stopped,end_instructions_resp_test1.keys,end_instructions_resp_test1.rt,end_instructions_resp_test1.started,end_instructions_resp_test1.stopped,press_space_to_continue_test1.started,press_space_to_continue_test1.stopped,cue1Image_testChoice.started,cue1Image_testChoice.stopped,cue2Image_testChoice.started,cue2Image_testChoice.stopped,test_resp.keys,test_resp.corr,test_resp.rt,test_resp.started,test_resp.stopped,cue1Image_testConf.started,cue1Image_testConf.stopped,cue2Image_testConf.started,cue2Image_testConf.stopped,conf_reminder.started,conf_reminder.stopped,conf_rating.response,conf_rating.rt,conf_rating.started,conf_rating.stopped,text_2.started,text_2.stopped,end_slots_resp.keys,end_slots_resp.rt,end_slots_resp.started,end_slots_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_pepper.png', 'beta': 'pictures/SHINEd_pear.png', 'theta': 'pictures/SHINEd_melon.png', 'phi': 'pictures/SHINEd_apple.png', 'T1': 'pictures/38M_AN_C.png', 'T2': 'pictures/32M_AN_C.png', 'T3': 'pictures/22M_AN_C.png', 'T4': 'pictures/26M_AN_C.png', 'T5': 'pictures/36M_AN_C.png', 'T6': 'pictures/34M_AN_C.png', 'B1': 'pictures/23M_NE_C.png', 'B2': 'pictures/33M_NE_C.png', 'B3': 'pictures/31M_NE_C.png', 'B4': 'pictures/37M_NE_C.png', 'B5': 'pictures/20M_NE_C.png', 'B6': 'pictures/25M_NE_C.png'}",21.479413576000297,None,26.48046406499998,None,space,12.53547160800008,26.48046406499998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.396120942999914,None,39.396120942999914,None,"['0', '5', '1', '0', 'y', 'backspace', 'h', 'i', 'backspace', 'backspace', 'h', 'i', 'a', 't', 'r', 'backspace', '0', '5', '1', '0', 'h', 'i', 's', 't', 'r', '0', '5', '1', '0', 'h', 'h', 'backspace', 'backspace', 'h', 'backspace', 'h', 'i', 's', 't', 'r']","[11.07585943399863, 11.459864878999724, 16.21178394099843, 16.323834211998474, 22.307859278998876, 23.01180274899889, 24.01975765199859, 24.179763673999332, 25.41180141499899, 25.571825937999165, 28.243756779998876, 28.595779178000157, 33.363802871999724, 33.4437825519999, 33.57183518199963, 34.08386296199933, 39.57182635499885, 40.16376225699969, 40.78778134499953, 40.88384068099913, 44.179790290998426, 44.691737522998665, 45.49180305399932, 45.58782123799938, 45.763761460999376, 58.27585973999885, 59.15582298499976, 59.74793945499914, 59.90786401500009, 61.60374627599958, 62.003761059999306, 62.67586868499893, 62.88383063299989, 63.71581296799923, 64.3398258849993, 65.52382068399857, 66.59578370700001, 67.10780081999837, 67.21978425099951, 67.34790575699844]",39.396120942999914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0510histr,39.396120942999914,None,39.396120942999914,None,111.81372057600129,None,space,5.258317728001202,116.81366980400162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.81366980400162,None,122.11406227800035,None,space,6.798953359000734,127.09700239000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.09700239000085,None,133.94766395100123,None,133.94766395100123,None,133.94766395100123,None,g,0,3.6773279329991055,135.53057033700134,None,135.53057033700134,None,135.53057033700134,None,139.28025643399997,None,139.28025643399997,None,139.28025643399997,None,139.28025643399997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.23041384600037,None,141.23041384600037,None,141.23041384600037,None,g,1,1.115350865000437,142.7805810000009,None,142.7805810000009,None,142.7805810000009,None,143.95021162300145,None,143.95021162300145,None,143.95021162300145,None,143.95021162300145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.93072749300154,None,145.93072749300154,None,145.93072749300154,None,g,1,0.9446778709989303,147.46323497400044,None,147.46323497400044,None,147.46323497400044,None,148.46409047199995,None,148.46409047199995,None,148.46409047199995,None,148.46409047199995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.4304025500005,None,150.4304025500005,None,150.4304025500005,None,h,1,1.3402430579990323,151.96367226200164,None,151.96367226200164,None,151.96367226200164,None,153.36403466900083,None,153.36403466900083,None,153.36403466900083,None,153.36403466900083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.34726932600097,None,155.34726932600097,None,155.34726932600097,None,h,1,0.8074931299997843,156.88048552500004,None,156.88048552500004,None,156.88048552500004,None,157.7473073150013,None,157.7473073150013,None,157.7473073150013,None,157.7473073150013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7134263750013,None,159.7134263750013,None,159.7134263750013,None,g,1,0.7607652739989135,161.24712500200076,None,161.24712500200076,None,161.24712500200076,None,162.06429365200165,None,162.06429365200165,None,162.06429365200165,None,162.06429365200165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,83,2020_Feb_06_1125,spring_faces,3.1.5,60.28140868651942,
