ExperimentName	SessionDate	SessionTime	SessionStartDateTimeUtc	Subject	Session	DataFile.Basename	RandomSeed	Group	Display.RefreshRate	Clock.Information	StudioVersion	RuntimeVersion	RuntimeVersionExpected	RuntimeCapabilities	ExperimentVersion	BlockList	Procedure[Block]	BlockList.Cycle	BlockList.Sample	Running[Block]	Intro13.OnsetDelay	Intro13.OnsetTime	Intro13.DurationError	Intro13.RTTime	Intro13.ACC	Intro13.RT	Intro13.RESP	Intro13.CRESP	Intro13.OnsetToOnsetTime	Intro14.OnsetDelay	Intro14.OnsetTime	Intro14.DurationError	Intro14.RTTime	Intro14.ACC	Intro14.RT	Intro14.RESP	Intro14.CRESP	Intro14.OnsetToOnsetTime	InTheEnd[Block]	InTheEnd.Cycle	InTheEnd.Sample	Block	Procedure[Trial]	QuestionPracList	Correct_75	Running[Trial]	QuestionPracList.Cycle	QuestionPracList.Sample	PracSlide1.OnsetDelay	PracSlide1.OnsetTime	PracSlide1.DurationError	PracSlide1.RTTime	PracSlide1.ACC	PracSlide1.RT	PracSlide1.RESP	PracSlide1.CRESP	PracSlide1.OnsetToOnsetTime	QuestionPracList2	Correct_20	QuestionPracList2.Cycle	QuestionPracList2.Sample	PracSlide2.OnsetDelay	PracSlide2.OnsetTime	PracSlide2.DurationError	PracSlide2.RTTime	PracSlide2.ACC	PracSlide2.RT	PracSlide2.RESP	PracSlide2.CRESP	PracSlide2.OnsetToOnsetTime	QuestionPracList3	Correct_b	QuestionPracList3.Cycle	QuestionPracList3.Sample	PracSlide3.OnsetDelay	PracSlide3.OnsetTime	PracSlide3.DurationError	PracSlide3.RTTime	PracSlide3.ACC	PracSlide3.RT	PracSlide3.RESP	PracSlide3.CRESP	PracSlide3.OnsetToOnsetTime	QuestionPracList4	Correct_D	QuestionPracList4.Cycle	QuestionPracList4.Sample	PracSlide4.OnsetDelay	PracSlide4.OnsetTime	PracSlide4.DurationError	PracSlide4.RTTime	PracSlide4.ACC	PracSlide4.RT	PracSlide4.RESP	PracSlide4.CRESP	PracSlide4.OnsetToOnsetTime	QuestionPracList5	Correct_5	QuestionPracList5.Cycle	QuestionPracList5.Sample	PracSlide5.OnsetDelay	PracSlide5.OnsetTime	PracSlide5.DurationError	PracSlide5.RTTime	PracSlide5.ACC	PracSlide5.RT	PracSlide5.RESP	PracSlide5.CRESP	PracSlide5.OnsetToOnsetTime	QuestionPracList6	QuestionPracList6.Cycle	QuestionPracList6.Sample	PraceSlide6.OnsetDelay	PraceSlide6.OnsetTime	PraceSlide6.DurationError	PraceSlide6.RTTime	PraceSlide6.ACC	PraceSlide6.RT	PraceSlide6.RESP	PraceSlide6.CRESP	PraceSlide6.OnsetToOnsetTime	QuestionPracList7	QuestionPracList7.Cycle	QuestionPracList7.Sample	PraceSlide7.OnsetDelay	PraceSlide7.OnsetTime	PraceSlide7.DurationError	PraceSlide7.RTTime	PraceSlide7.ACC	PraceSlide7.RT	PraceSlide7.RESP	PraceSlide7.CRESP	PraceSlide7.OnsetToOnsetTime	PracTrialList01	RiskAmbigLevel	BlueValue	RedValue	Reference	BlockStartText	TrialNum	PracTrialList01.Cycle	PracTrialList01.Sample	BlockStart1.OnsetDelay	BlockStart1.OnsetTime	BlockStart1.DurationError	BlockStart1.Duration	BlockStart1.OnsetToOnsetTime	LotterySide	choice0.OnsetDelay	choice0.OnsetTime	choice0.DurationError	choice0.Duration	choice0.RT	choice0.RESP	choice0.OnsetToOnsetTime	ImageDisplay0.OnsetDelay	ImageDisplay0.OnsetTime	ImageDisplay0.DurationError	ImageDisplay0.Duration	ImageDisplay0.OnsetToOnsetTime	RespFdbk1.OnsetDelay	RespFdbk1.OnsetTime	RespFdbk1.DurationError	RespFdbk1.Duration	RespFdbk1.RT	RespFdbk1.RESP	RespFdbk1.OnsetToOnsetTime	PracTrialList02	PracTrialList02.Cycle	PracTrialList02.Sample	PracTrialList03	PracTrialList03.Cycle	PracTrialList03.Sample	PracTrialList04	PracTrialList04.Cycle	PracTrialList04.Sample	InTheEnd[Trial]	NewBlock	Condition	BagNum	Block1	Block1.Cycle	Block1.Sample	choice.OnsetDelay	choice.OnsetTime	choice.DurationError	choice.Duration	choice.RT	choice.RESP	choice.OnsetToOnsetTime	RespFdbk.OnsetDelay	RespFdbk.OnsetTime	RespFdbk.DurationError	RespFdbk.Duration	RespFdbk.RT	RespFdbk.RESP	RespFdbk.OnsetToOnsetTime	ImageDisplay2.OnsetDelay	ImageDisplay2.OnsetTime	ImageDisplay2.DurationError	ImageDisplay2.Duration	ImageDisplay2.OnsetToOnsetTime	Block2	Block2.Cycle	Block2.Sample	Block3	Block3.Cycle	Block3.Sample	Block4	Block4.Cycle	Block4.Sample	Trial
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	1	BlockProc	1	1	BlockList	56	211293	-999999	222770	0	11477	c	""	0	60	222831	-999999	247402	0	24571	c	""	0				1	QuestionsPrac	1	75{ENTER}	QuestionPracList	1	1	79	341360	-999999	349991	1	8631	75{ENTER}	75{ENTER}	0																																																																																																																																																											1
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	1	BlockProc	1	1	BlockList	56	211293	-999999	222770	0	11477	c	""	0	60	222831	-999999	247402	0	24571	c	""	0				1	Question2			QuestionPracList2												1	15{ENTER}	1	1	61	353654	-999999	360047	1	6393	15{ENTER}	15{ENTER}	0																																																																																																																																														2
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	1	BlockProc	1	1	BlockList	56	211293	-999999	222770	0	11477	c	""	0	60	222831	-999999	247402	0	24571	c	""	0				1	Question3			QuestionPracList3													""												1	b	1	1	45	363687	-999999	372839	1	9152	b	b	0																																																																																																																																	3
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	1	BlockProc	1	1	BlockList	56	211293	-999999	222770	0	11477	c	""	0	60	222831	-999999	247402	0	24571	c	""	0				1	Question4			QuestionPracList4																																						1	d	1	1	44	376483	-999999	383927	1	7444	d	d	0																																																																																																																				4
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	1	BlockProc	1	1	BlockList	56	211293	-999999	222770	0	11477	c	""	0	60	222831	-999999	247402	0	24571	c	""	0				1	Question5			QuestionPracList5																																																			1	2{ENTER}	1	1	77	387603	-999999	394982	1	7379	2{ENTER}	2{ENTER}	0																																																																																																							5
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	1	BlockProc	1	1	BlockList	56	211293	-999999	222770	0	11477	c	""	0	60	222831	-999999	247402	0	24571	c	""	0				1	Question6			QuestionPracList6																										b																																						1	1	1	44	398624	-999999	404726	1	6102	b	b	0																																																																																											6
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	1	BlockProc	1	1	BlockList	56	211293	-999999	222770	0	11477	c	""	0	60	222831	-999999	247402	0	24571	c	""	0				1	Question7			QuestionPracList7																										b																																																		1	1	1	39	407366	-999999	411046	1	3680	b	b	0																																																																															7
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	2	PracBlockProc01	1	2	BlockList																						2	StartProc0			PracTrialList01																																																																																								1	""	""	""	""	Practice Section WIN	""	1	1	103	458013	-999999	-1	0																																																																	1
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	2	PracBlockProc01	1	2	BlockList																						2	TrialProc0			PracTrialList01																																																																																								2	risk_red_75	$0	$12	$1.50	""	1	1	2						Left	86	461012	-86	10000	0	""	9916	0	471931	0	1000	0	0	0	0	500	0	""	0																																													2
RiskAmb_AdolGaba	05-13-2018	09:44:23	5/13/2018 3:44:23 PM	0005	2	RiskAmb_AdolGaba-0005-2	1149615600	1	59.707	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2636787</Frequency><Timestamp dt:dt=""r8"">744178619515</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-05-13T15:44:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	2.0.10.252	2.0.10.356	2.0.10.356	Professional	1.0.0.559	2	PracBlockProc01	1	2	BlockList																						2	TrialProc0			PracTrialList01																																																																																								3	risk_red_25	$0	$3	$1.50	""	2	1	3						Right	5	472936	-999999	10000	4052	1	0	3	477491	-3	1000	0	34	477022	-34	500	0	""	469																																													3
