subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"4",Chrome,86.0.4240.198,Windows,en-US,2020-11-29_23:34:14,2020-11-29_16:34:14,https://www.testable.org/experiment/4058/666579/start?sona_id=65183,1

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
1627,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","4","","","","",0,0,21254,"2",2073,"",""
1630,"1","","",SHINEd_lemon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","4",alpha,none,0 50,750,0,0,26955,g,2468,"0",""
1632,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","4",beta,none,0 50,751,0,0,32241,g,1035,"1",""
1635,"1","","",SHINEd_lemon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","4",alpha,none,0 50,751,45,"16.66",37106,h,614,"1",""
1637,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","4",beta,none,0 50,751,45,"16.70",42033,g,674,"1",""
1642,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","4",beta,none,0 50,751,45,"16.70",47009,g,731,"1",""
1640,"1","","",SHINEd_lemon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","4",alpha,none,0 50,751,45,"16.70",51905,h,643,"1",""
1647,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","4",beta,none,0 50,751,45,"16.70",56769,g,621,"1",""
1645,"1","","",SHINEd_lemon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","4",alpha,none,0 50,751,45,"16.70",62026,h,1010,"1",""
1650,"1","","",SHINEd_lemon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","4",alpha,none,0 50,748,45,"16.70",66737,h,469,"1",""
