subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"14",Chrome,86.0.4240.193,Windows,en-US,2020-12-02_04:21:25,2020-12-01_21:21:25,https://www.testable.org/experiment/4058/666579/start?sona_id=65898,1.02

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
7037,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","14","","","","",0,0,102927,"2",7223,"",""
7040,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",alpha,none,0 50,742,0,0,133262,h,5178,"1",""
7042,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",beta,none,0 50,747,0,0,139181,h,1672,"0",""
7045,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",alpha,none,0 50,743,42,"17.68",144210,h,798,"1",""
7047,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",beta,none,0 50,746,42,"17.79",149238,g,773,"1",""
7052,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",beta,none,0 50,743,42,"17.70",154357,g,876,"1",""
7050,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",alpha,none,0 50,747,42,"17.77",159289,h,699,"1",""
7055,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",alpha,none,0 50,744,42,"17.68",164421,h,886,"1",""
7057,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",beta,none,0 50,742,42,"17.79",169387,g,727,"1",""
7060,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",alpha,none,0 50,746,42,"17.72",174110,h,482,"1",""
7062,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",beta,none,0 50,746,42,"17.67",178768,g,427,"1",""
7067,"2","","",SHINEd_berry2,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",beta,none,0 50,744,42,"17.75",183733,g,709,"1",""
7065,"1","","",SHINEd_pepper,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",alpha,none,0 50,742,42,"17.77",188532,h,560,"1",""
7072,"2","","","",SHINEd_berry2,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",none,beta,-200 50;200 50,747,42,"17.72",193446,g,679,"1",""
7070,"1","","","",SHINEd_pepper,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",none,alpha,-200 50;200 50,747,42,"17.66",198416,h,721,"1",""
7075,"1","","",SHINEd_pepper,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","14",alpha,none,-200 50;200 50,744,42,"17.79",203409,h,752,"1",""
7077,"2","","",SHINEd_berry2,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","14",beta,none,-200 50;200 50,747,42,"17.78",208162,g,501,"1",""
