subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"18",Safari,"11.1",MacOS,en-US,2020-12-02_21:19:57,2020-12-02_16:19:57,https://www.testable.org/experiment/4058/666579/start?sona_id=65819,0.93

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
9201,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","18","","","","",0,0,403229,"2",2665,"",""
9204,"1","","",SHINEd_berry2,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",alpha,none,0 50,751,0,0,448388,g,10000,"0",""
9206,"2","","",SHINEd_melon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",beta,none,0 50,749,0,0,458620,h,5944,"0",""
9209,"1","","",SHINEd_berry2,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",alpha,none,0 50,750,44,"17.07",472155,h,9286,"1",""
9211,"2","","",SHINEd_melon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",beta,none,0 50,749,45,"16.64",478243,g,1830,"1",""
9216,"2","","",SHINEd_melon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",beta,none,0 50,751,45,"16.67",485638,g,3135,"1",""
9214,"1","","",SHINEd_berry2,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",alpha,none,0 50,751,44,"17.02",491165,h,1271,"1",""
9221,"2","","",SHINEd_melon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",beta,none,0 50,752,45,"16.69",496775,g,1360,"1",""
9219,"1","","",SHINEd_berry2,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",alpha,none,0 50,750,45,"16.69",503290,h,2250,"1",""
9226,"2","","",SHINEd_melon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",beta,none,0 50,751,45,"16.71",508168,g,622,"1",""
9224,"1","","",SHINEd_berry2,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",alpha,none,0 50,750,45,"16.67",513115,h,686,"1",""
9229,"1","","",SHINEd_berry2,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",alpha,none,0 50,750,45,"16.69",546379,h,29013,"1",""
9231,"2","","",SHINEd_melon,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",beta,none,0 50,753,44,"17.05",551305,g,660,"1",""
9236,"2","","","",SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",none,beta,-200 50;200 50,752,45,"16.67",558588,h,3020,"0",""
9234,"1","","","",SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",none,alpha,-200 50;200 50,750,45,"16.73",564363,h,1525,"1",""
9241,"2","","",SHINEd_melon,"",g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",beta,none,-200 50;200 50,751,45,"16.71",570983,g,2374,"1",""
9239,"1","","",SHINEd_berry2,"",h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",alpha,none,-200 50;200 50,753,45,"16.67",577246,h,2012,"1",""
9244,"1","","","",SHINEd_berry2,h,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","18",none,alpha,-200 50;200 50,750,44,"17.07",584291,h,2800,"1",""
9246,"2","","","",SHINEd_melon,g,test,"",.png,-200 50;200 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","18",none,beta,-200 50;200 50,751,45,"16.73",591135,g,2590,"1",""
