subjectGroup,browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
"8",Safari,"14.0",MacOS,en-us,2020-12-04_00:57:06,2020-12-03_16:57:06,https://www.testable.org/experiment/4058/666579/start?sona_id=65776,0.96

rowNo,randomBlock,if,then,stim1,stim2,key,type,head,stimFormat,stimPos,ITI,keyboard,button1,button2,responseType,responseOptions,responseRows,feedback,feedbackTime,feedbackOptions,required,pageBreak,pageName,subjectGroup,abstract_stim1,abstract_stim2,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
3791,"0",1;2,end;+1,ugrad_consent3,"","",test,"",.png,"","","",Do not agree,Agree,"","","","","","","","","","8","","","","",0,0,88021,"2",2988,"",""
3796,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","8",beta,none,0 50,750,0,0,94967,h,3010,"0",""
3794,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","8",alpha,none,0 50,750,0,0,100777,g,1565,"0",""
3799,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","8",alpha,none,0 50,750,45,"16.67",105399,h,368,"1",""
3801,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","8",beta,none,0 50,750,45,"16.67",111576,g,1927,"1",""
3806,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","8",beta,none,0 50,750,45,"16.67",116708,g,889,"1",""
3804,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","8",alpha,none,0 50,750,45,"16.67",121437,h,482,"1",""
3809,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","8",alpha,none,0 50,749,45,"16.67",126040,g,350,"0",""
3811,"2","","",SHINEd_pepper,"",g,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Go (G).; incorrect: Incorrect.  They like to play Go (G).,"2000",sameScreen,"","","","8",beta,none,0 50,751,45,"16.67",131275,g,982,"1",""
3814,"1","","",SHINEd_melon,"",h,test,"",.png,0 50,"750",h g,"","","","","",correct: Correct.  They like to play Chess (H).; incorrect: Incorrect.  They like to play Chess (H).,"2000",sameScreen,"","","","8",alpha,none,0 50,750,45,"16.64",136113,h,584,"1",""
